Strain	Date
hCoV-19/Denmark/DCGC-43695/2021|EPI_ISL_1024073|2021-02-01	2021-02-01
hCoV-19/Denmark/DCGC-44530/2021|EPI_ISL_1024908|2021-02-01	2021-02-01
hCoV-19/Denmark/DCGC-48582/2021|EPI_ISL_1124705|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-48583/2021|EPI_ISL_1124707|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-48602/2021|EPI_ISL_1124750|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-49210/2021|EPI_ISL_1125600|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-49301/2021|EPI_ISL_1125691|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-50171/2021|EPI_ISL_1126562|2021-02-08	2021-02-08
hCoV-19/Denmark/DCGC-50588/2021|EPI_ISL_1126979|2021-02-15	2021-02-15
hCoV-19/Germany/SN-RKI-I-026172/2021|EPI_ISL_1156357|2021-02-17	2021-02-17
hCoV-19/USA/VA-SU-SC_67/2021|EPI_ISL_1168766|2021-02-26	2021-02-26
hCoV-19/USA/VA-SU-SC_69/2021|EPI_ISL_1168768|2021-02-26	2021-02-26
hCoV-19/England/ALDP-12D26F1/2021|EPI_ISL_1177237|2021-02-15	2021-02-15
hCoV-19/Spain/CT-HUGTiPR006BX5A5/2021|EPI_ISL_1208489|2021-02-16	2021-02-16
hCoV-19/Turkey/HSGM-5978/2021|EPI_ISL_1225807|2021-02-24	2021-02-24
hCoV-19/Nigeria/CV844/2021|EPI_ISL_1235642|2021-01-08	2021-01-08
hCoV-19/Nigeria/CV845/2021|EPI_ISL_1235643|2021-01-23	2021-01-23
hCoV-19/Nigeria/CV850/2021|EPI_ISL_1235647|2021-01-25	2021-01-25
hCoV-19/Nigeria/CV852/2021|EPI_ISL_1235648|2021-01-26	2021-01-26
hCoV-19/Nigeria/CV853/2021|EPI_ISL_1235649|2021-01-26	2021-01-26
hCoV-19/Nigeria/CV854/2021|EPI_ISL_1235650|2021-01-08	2021-01-08
hCoV-19/Nigeria/CV857/2021|EPI_ISL_1235653|2021-01-27	2021-01-27
hCoV-19/Nigeria/CV858/2021|EPI_ISL_1235654|2021-01-27	2021-01-27
hCoV-19/Nigeria/CV866/2021|EPI_ISL_1235656|2021-01-31	2021-01-31
hCoV-19/Nigeria/CV875/2021|EPI_ISL_1235664|2021-01-28	2021-01-28
hCoV-19/Germany/NW-RKI-I-037769/2021|EPI_ISL_1283775|2021-03-02	2021-03-02
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-5308/2021|EPI_ISL_1287684|2021-03-14	2021-03-14
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-5309/2021|EPI_ISL_1287685|2021-03-14	2021-03-14
hCoV-19/Switzerland/VS-33472429/2021|EPI_ISL_1296221|2021-03-04	2021-03-04
hCoV-19/Norway/4237/2021|EPI_ISL_1318038|2021-02-19	2021-02-19
hCoV-19/Germany/BW-RKI-I-044585/2021|EPI_ISL_1351962|2021-03-12	2021-03-12
hCoV-19/Switzerland/VD-ETHZ-521689/2021|EPI_ISL_1361301|2021-03-01	2021-03-01
hCoV-19/Belgium/rega-4815/2021|EPI_ISL_1382202|2021-03-16	2021-03-16
hCoV-19/Germany/BE-RKI-I-052051/2021|EPI_ISL_1435330|2021-03-15	2021-03-15
hCoV-19/USA/WA-UW-67134/2021|EPI_ISL_1448114|2021-03-14	2021-03-14
hCoV-19/USA/WA-UW-67168/2021|EPI_ISL_1448142|2021-03-12	2021-03-12
hCoV-19/USA/WA-UW-67224/2021|EPI_ISL_1448194|2021-03-13	2021-03-13
hCoV-19/USA/WA-UW-67228/2021|EPI_ISL_1448198|2021-03-13	2021-03-13
hCoV-19/Spain/GA-CHUVI-19241170/2021|EPI_ISL_1478842|2021-03-20	2021-03-20
hCoV-19/Norway/5783/2021|EPI_ISL_1490503|2021-03-07	2021-03-07
hCoV-19/USA/WA-UW-68120/2021|EPI_ISL_1497973|2021-03-20	2021-03-20
hCoV-19/USA/WA-UW-67993/2021|EPI_ISL_1497976|2021-03-20	2021-03-20
hCoV-19/Togo/C6813/2021|EPI_ISL_1509273|2021-02-11	2021-02-11
hCoV-19/Italy/EMR-099408-023-01/2021|EPI_ISL_1510652|2021-03-18	2021-03-18
hCoV-19/Italy/TAA-IGA-1900530554/2021|EPI_ISL_1523570|2021-03-09	2021-03-09
hCoV-19/Bangladesh/BCSIR-NILMRC-680/2021|EPI_ISL_1533728|2021-03-14	2021-03-14
hCoV-19/Indonesia/KR-NIHRD-WGS01190/2021|EPI_ISL_1534691|2021-01-20	2021-01-20
hCoV-19/USA/NY-PRL-2021_0405_01L16/2021|EPI_ISL_1542264|2021-04-02	2021-04-02
hCoV-19/USA/NY-PRL-2021_0405_00P09/2021|EPI_ISL_1543103|2021-03-31	2021-03-31
hCoV-19/France/NOR-CERBAHC-20210411-S24/2021|EPI_ISL_1547506|2021-03-30	2021-03-30
hCoV-19/Norway/6319/2021|EPI_ISL_1547530|2021-03-11	2021-03-11
hCoV-19/Norway/6336/2021|EPI_ISL_1547539|2021-03-11	2021-03-11
hCoV-19/Norway/6465/2021|EPI_ISL_1547554|2021-03-13	2021-03-13
hCoV-19/Germany/RP-RKI-I-062138/2021|EPI_ISL_1567562|2021-03-17	2021-03-17
hCoV-19/USA/MD-MDH-1619/2021|EPI_ISL_1575151|2021-03-26	2021-03-26
hCoV-19/USA/NY-PRL-2021_0413_00L19/2021|EPI_ISL_1636298|2021-04-12	2021-04-12
hCoV-19/Germany/un-RKI-I-071428/2021|EPI_ISL_1638418|2021-03-29	2021-03-29
hCoV-19/Germany/BE-RKI-I-071434/2021|EPI_ISL_1638423|2021-04-08	2021-04-08
hCoV-19/Germany/BE-RKI-I-071462/2021|EPI_ISL_1638447|2021-04-02	2021-04-02
hCoV-19/Germany/BE-RKI-I-071470/2021|EPI_ISL_1638454|2021-04-08	2021-04-08
hCoV-19/Germany/NW-RKI-I-078565/2021|EPI_ISL_1643809|2021-04-08	2021-04-08
hCoV-19/India/ILSGS00918/2021|EPI_ISL_1663494|2021-04-02	2021-04-02
hCoV-19/Italy/SIC-CQRC-21015987/2021|EPI_ISL_1678002|2021-03-01	2021-03-01
hCoV-19/Italy/SIC-CQRC-21015988/2021|EPI_ISL_1678003|2021-03-01	2021-03-01
hCoV-19/Italy/SIC-CQRC-21016030/2021|EPI_ISL_1678006|2021-03-04	2021-03-04
hCoV-19/Italy/SIC-CQRC-21016090/2021|EPI_ISL_1678007|2021-03-06	2021-03-06
hCoV-19/Italy/SIC-CQRC-21016091/2021|EPI_ISL_1678008|2021-03-06	2021-03-06
hCoV-19/Italy/SIC-CQRC-21016092/2021|EPI_ISL_1678009|2021-03-06	2021-03-06
hCoV-19/Italy/SIC-CQRC-21016096/2021|EPI_ISL_1678010|2021-03-08	2021-03-08
hCoV-19/Italy/SIC-CQRC-21016128/2021|EPI_ISL_1678014|2021-03-09	2021-03-09
hCoV-19/Italy/SIC-CQRC-21016131/2021|EPI_ISL_1678017|2021-03-10	2021-03-10
hCoV-19/Italy/SIC-CQRC-21021935/2021|EPI_ISL_1678020|2021-03-12	2021-03-12
hCoV-19/Italy/SIC-CQRC-21021948/2021|EPI_ISL_1678021|2021-03-13	2021-03-13
hCoV-19/Italy/SIC-CQRC-21022107/2021|EPI_ISL_1678022|2021-03-18	2021-03-18
hCoV-19/Italy/SIC-CQRC-21022118/2021|EPI_ISL_1678023|2021-03-19	2021-03-19
hCoV-19/Turkey/HSGM-B1702/2021|EPI_ISL_1678513|2021-03-29	2021-03-29
hCoV-19/USA/WA-UW-2021040768646/2021|EPI_ISL_1680352|2021-04-07	2021-04-07
hCoV-19/USA/MD-CDC-LC0033137/2021|EPI_ISL_1695005|2021-03-18	2021-03-18
hCoV-19/France/COR-HCL021064600201/2021|EPI_ISL_1695436|2021-03-29	2021-03-29
hCoV-19/France/COR-HCL021064609701/2021|EPI_ISL_1695443|2021-03-30	2021-03-30
hCoV-19/France/COR-HCL021064613101/2021|EPI_ISL_1695444|2021-03-30	2021-03-30
hCoV-19/USA/VA-SU-SC_120/2021|EPI_ISL_1710705|2021-04-16	2021-04-16
hCoV-19/Germany/NW-RKI-I-083486/2021|EPI_ISL_1720971|2021-04-11	2021-04-11
hCoV-19/Germany/HH-RKI-I-092637/2021|EPI_ISL_1727121|2021-04-13	2021-04-13
hCoV-19/USA/WV-WVU-WV118439/2021|EPI_ISL_1742737|2021-04-09	2021-04-09
hCoV-19/Italy/TAA-IGA-1900565806/2021|EPI_ISL_1745324|2021-04-16	2021-04-16
hCoV-19/Italy/TAA-IGA-1900566363/2021|EPI_ISL_1745328|2021-04-17	2021-04-17
hCoV-19/Turkey/HSGM-B285/2021|EPI_ISL_1760119|2021-03-25	2021-03-25
hCoV-19/Turkey/HSGM-B634/2021|EPI_ISL_1760120|2021-03-26	2021-03-26
hCoV-19/Turkey/HSGM-B4126/2021|EPI_ISL_1760146|2021-03-31	2021-03-31
hCoV-19/France/ARA-HCL021070608101/2021|EPI_ISL_1788551|2021-04-12	2021-04-12
hCoV-19/France/ARA-HCL021070611001/2021|EPI_ISL_1788552|2021-04-12	2021-04-12
hCoV-19/Sweden/3637970116/2021|EPI_ISL_1808671|2021-03-29	2021-03-29
hCoV-19/USA/WA-CDC-LC0045696/2021|EPI_ISL_1818074|2021-04-16	2021-04-16
hCoV-19/USA/KY-CDC-LC0046239/2021|EPI_ISL_1818075|2021-04-09	2021-04-09
hCoV-19/USA/MA-CDC-LC0047615/2021|EPI_ISL_1818077|2021-04-16	2021-04-16
hCoV-19/USA/IN-CDC-LC0048433/2021|EPI_ISL_1818078|2021-04-15	2021-04-15
hCoV-19/Norway/08611/2021|EPI_ISL_1820304|2021-03-22	2021-03-22
hCoV-19/Norway/09193/2021|EPI_ISL_1820305|2021-03-26	2021-03-26
hCoV-19/Norway/7922/2021|EPI_ISL_1820306|2021-03-24	2021-03-24
hCoV-19/Norway/08366/2021|EPI_ISL_1820307|2021-03-27	2021-03-27
hCoV-19/Norway/08479/2021|EPI_ISL_1820308|2021-03-25	2021-03-25
hCoV-19/Norway/08480/2021|EPI_ISL_1820309|2021-03-25	2021-03-25
hCoV-19/Norway/08720/2021|EPI_ISL_1820310|2021-03-27	2021-03-27
hCoV-19/Norway/08752/2021|EPI_ISL_1820311|2021-04-01	2021-04-01
hCoV-19/Norway/08764/2021|EPI_ISL_1820312|2021-04-01	2021-04-01
hCoV-19/Norway/08765/2021|EPI_ISL_1820313|2021-04-01	2021-04-01
hCoV-19/Norway/09239/2021|EPI_ISL_1820314|2021-04-07	2021-04-07
hCoV-19/Norway/09296/2021|EPI_ISL_1820315|2021-04-06	2021-04-06
hCoV-19/Norway/4470/2021|EPI_ISL_1820780|2021-02-18	2021-02-18
