#node	date	numeric date
NODE_0000000	2020-10-08	2020.769474
hCoV-19/Angola/KRISP-K009785/2020|EPI_ISL_1347937|2020-12-11	2020-12-11	2020.943989
NODE_0000106	2020-10-08	2020.769474
NODE_0000016	2021-01-13	2021.034105
NODE_0000124	2021-03-29	2021.239726
hCoV-19/USA/NY-PRL-2021_04_01_00F18/2021|EPI_ISL_1471863|2021-03-29	2021-03-29	2021.239726
hCoV-19/USA/NY-PRL-2021_0415_01G24/2021|EPI_ISL_1634233|2021-04-14	2021-04-14	2021.283562
NODE_0000018	2021-02-18	2021.133098
NODE_0000114	2021-03-05	2021.175133
hCoV-19/Australia/QLD1877/2021|EPI_ISL_2001059|2021-05-07	2021-05-07	2021.346575
hCoV-19/France/IDF-HMN-21042160249/2021|EPI_ISL_1756563|2021-04-13	2021-04-13	2021.280822
NODE_0000116	2021-04-16	2021.290145
hCoV-19/Italy/UMB-IZSGC-267459.1.23/2021|EPI_ISL_2235459|2021-05-11	2021-05-11	2021.357534
hCoV-19/Italy/UMB-IZSGC-259791.1.34/2021|EPI_ISL_2131484|2021-05-04	2021-05-04	2021.338356
NODE_0000021	2021-02-18	2021.133098
NODE_0000111	2021-03-04	2021.170149
hCoV-19/France/IDF-HMN-21032260543/2021|EPI_ISL_1755014|2021-03-24	2021-03-24	2021.226027
hCoV-19/France/IDF-HMN-21032260140/2021|EPI_ISL_1755030|2021-03-26	2021-03-26	2021.231507
NODE_0000023	2021-02-21	2021.141351
NODE_0000117	2021-03-26	2021.230832
hCoV-19/Spain/CT-HUGTiPR012YO1B9/2021|EPI_ISL_1636430|2021-04-07	2021-04-07	2021.264384
hCoV-19/Spain/CT-HUGTiPM015EO7H5/2021|EPI_ISL_2140548|2021-05-05	2021-05-05	2021.341096
NODE_0000119	2021-04-04	2021.254826
hCoV-19/Spain/CT-HUGTiPR014JJ2B11/2021|EPI_ISL_1831596|2021-04-18	2021-04-18	2021.294521
NODE_0000120	2021-04-26	2021.316438
hCoV-19/Spain/CT-HUGTiPR015HY5G10/2021|EPI_ISL_1999837|2021-04-26	2021-04-26	2021.316438
hCoV-19/Spain/CT-HUGTiPR015HY5H10/2021|EPI_ISL_1999851|2021-04-26	2021-04-26	2021.316438
NODE_0000027	2021-02-22	2021.144183
hCoV-19/Netherlands/NH-RIVM-27927/2021|EPI_ISL_1792899|2021-04-19	2021-04-19	2021.297260
NODE_0000028	2021-02-22	2021.144183
hCoV-19/USA/NY-PRL-2021_0504_00C12/2021|EPI_ISL_2037245|2021-05-03	2021-05-03	2021.335616
NODE_0000029	2021-02-22	2021.144183
NODE_0000031	2021-03-10	2021.187828
hCoV-19/France/HDF-100002648358/2021|EPI_ISL_1936838|2021-04-29	2021-04-29	2021.324658
NODE_0000032	2021-03-11	2021.190411
hCoV-19/France/PAC-HCL021071290601/2021|EPI_ISL_1935392|2021-04-11	2021-04-11	2021.275342
hCoV-19/France/IDF-SLS762103043726/2021|EPI_ISL_1797614|2021-03-11	2021-03-11	2021.190411
NODE_0000125	2021-03-05	2021.173092
hCoV-19/Italy/TAA-1900564226/2021|EPI_ISL_1804916|2021-04-14	2021-04-14	2021.283562
NODE_0000130	2021-03-13	2021.194781
hCoV-19/Italy/TAA-1900545984/2021|EPI_ISL_1494713|2021-03-23	2021-03-23	2021.223288
NODE_0000036	2021-03-30	2021.241495
hCoV-19/Italy/TAA-1900564005/2021|EPI_ISL_1804911|2021-04-14	2021-04-14	2021.283562
NODE_0000039	2021-04-05	2021.257935
hCoV-19/Italy/TAA-1900557584/2021|EPI_ISL_1672821|2021-04-07	2021-04-07	2021.264384
hCoV-19/Italy/TAA-1900569548/2021|EPI_ISL_1923538|2021-04-20	2021-04-20	2021.300000
NODE_0000148	2021-03-15	2021.201576
hCoV-19/Italy/TAA-IGA-1900544936/2021|EPI_ISL_1545675|2021-03-23	2021-03-23	2021.223288
NODE_0000044	2021-03-22	2021.220548
hCoV-19/Italy/TAA-1900542796/2021|EPI_ISL_1494685|2021-03-22	2021-03-22	2021.220548
NODE_0000045	2021-03-23	2021.223288
hCoV-19/Italy/TAA-1900544936/2021|EPI_ISL_1494712|2021-03-23	2021-03-23	2021.223288
NODE_0000046	2021-04-04	2021.256164
hCoV-19/Italy/TAA-IGA-1900555264/2021|EPI_ISL_1941525|2021-04-04	2021-04-04	2021.256164
hCoV-19/Italy/TAA-IGA-1900556970/2021|EPI_ISL_2007318|2021-04-06	2021-04-06	2021.261644
NODE_0000153	2021-03-26	2021.230904
hCoV-19/Italy/TAA-1900557968/2021|EPI_ISL_1672827|2021-04-07	2021-04-07	2021.264384
NODE_0000158	2021-04-02	2021.250550
hCoV-19/Italy/TAA-IGA-1900561059/2021|EPI_ISL_1745277|2021-04-11	2021-04-11	2021.275342
NODE_0000159	2021-04-12	2021.278082
hCoV-19/Italy/TAA-IGA-1900566363/2021|EPI_ISL_1745328|2021-04-17	2021-04-17	2021.291781
hCoV-19/Italy/TAA-IGA-1900562420/2021|EPI_ISL_1745306|2021-04-12	2021-04-12	2021.278082
NODE_0000040	2021-03-28	2021.238082
hCoV-19/Italy/TAA-IGA-1900562412/2021|EPI_ISL_1745303|2021-04-12	2021-04-12	2021.278082
NODE_0000154	2021-04-12	2021.278082
hCoV-19/Italy/TAA-IGA-1900571794/2021|EPI_ISL_2080348|2021-05-01	2021-05-01	2021.330137
hCoV-19/Italy/TAA-IGA-1900571836/2021|EPI_ISL_2080346|2021-05-01	2021-05-01	2021.330137
hCoV-19/Italy/TAA-IGA-1900562416/2021|EPI_ISL_1745299|2021-04-12	2021-04-12	2021.278082
NODE_0000049	2021-03-08	2021.181929
NODE_0000145	2021-03-24	2021.226027
hCoV-19/Italy/TAA-IGA-1900565806/2021|EPI_ISL_1745324|2021-04-16	2021-04-16	2021.289041
hCoV-19/Italy/TAA-IGA-1900545946/2021|EPI_ISL_1545697|2021-03-24	2021-03-24	2021.226027
NODE_0000041	2021-04-07	2021.263446
hCoV-19/Italy/TAA-IGA-1900561478/2021|EPI_ISL_1745239|2021-04-12	2021-04-12	2021.278082
hCoV-19/Italy/TAA-IGA-1900571227/2021|EPI_ISL_1840725|2021-04-22	2021-04-22	2021.305479
NODE_0000051	2021-03-12	2021.193928
hCoV-19/Italy/TAA-IGA-1900554901/2021|EPI_ISL_1745291|2021-04-10	2021-04-10	2021.272603
NODE_0000054	2021-03-13	2021.196652
NODE_0000055	2021-03-14	2021.198950
hCoV-19/Italy/TAA-IGA-1900536697/2021|EPI_ISL_1489777|2021-03-15	2021-03-15	2021.201370
NODE_0000056	2021-03-15	2021.201370
hCoV-19/Italy/TAA-IGA-1900536238/2021|EPI_ISL_1489775|2021-03-15	2021-03-15	2021.201370
NODE_0000057	2021-03-16	2021.204110
hCoV-19/Italy/TAA-IGA-1900536948/2021|EPI_ISL_1489771|2021-03-16	2021-03-16	2021.204110
NODE_0000058	2021-03-22	2021.220867
hCoV-19/Italy/TAA-IGA-1900573635/2021|EPI_ISL_1840774|2021-04-24	2021-04-24	2021.310959
NODE_0000059	2021-03-23	2021.223288
hCoV-19/Italy/TAA-IGA-1900546057/2021|EPI_ISL_1545698|2021-03-24	2021-03-24	2021.226027
hCoV-19/Italy/TAA-IGA-1900544055/2021|EPI_ISL_1545691|2021-03-23	2021-03-23	2021.223288
NODE_0000133	2021-04-02	2021.251895
NODE_0000137	2021-04-11	2021.276150
hCoV-19/Italy/TAA-IGA-1900577805/2021|EPI_ISL_2080312|2021-04-29	2021-04-29	2021.324658
hCoV-19/Italy/TAA-IGA-1900567600/2021|EPI_ISL_1840705|2021-04-19	2021-04-19	2021.297260
hCoV-19/Italy/TAA-IGA-1900569215/2021|EPI_ISL_1840707|2021-04-20	2021-04-20	2021.300000
NODE_0000062	2021-04-15	2021.286301
hCoV-19/Italy/TAA-1900564782/2021|EPI_ISL_1804923|2021-04-15	2021-04-15	2021.286301
NODE_0000064	2021-04-20	2021.300000
hCoV-19/Italy/TAA-IGA-1900569217/2021|EPI_ISL_1840706|2021-04-20	2021-04-20	2021.300000
NODE_0000066	2021-04-22	2021.305479
hCoV-19/Italy/TAA-1900571618/2021|EPI_ISL_1923575|2021-04-22	2021-04-22	2021.305479
hCoV-19/Italy/TAA-1900582228/2021|EPI_ISL_2156070|2021-05-04	2021-05-04	2021.338356
NODE_0000105	2020-10-13	2020.784147
hCoV-19/France/IDF-HMN-21042020419/2021|EPI_ISL_1755433|2021-03-30	2021-03-30	2021.242466
NODE_0000070	2020-10-18	2020.796416
NODE_0000069	2021-01-01	2021.001233
hCoV-19/Nigeria/CV898/2021|EPI_ISL_1242016|2021-02-16	2021-02-16	2021.127397
NODE_0000071	2021-01-06	2021.015972
NODE_0000073	2021-03-29	2021.239726
hCoV-19/France/COR-HCL021064600201/2021|EPI_ISL_1695436|2021-03-29	2021-03-29	2021.239726
NODE_0000074	2021-03-30	2021.242466
hCoV-19/France/COR-HCL021064609701/2021|EPI_ISL_1695443|2021-03-30	2021-03-30	2021.242466
hCoV-19/France/COR-HCL021064613101/2021|EPI_ISL_1695444|2021-03-30	2021-03-30	2021.242466
NODE_0000075	2021-01-06	2021.015972
hCoV-19/Sweden/16290494P/2021|EPI_ISL_1899146|2021-04-07	2021-04-07	2021.264384
NODE_0000076	2021-01-06	2021.015972
NODE_0000077	2021-01-26	2021.068686
hCoV-19/Portugal/PT7156/2021|EPI_ISL_2004292|2021-04-22	2021-04-22	2021.305479
NODE_0000085	2021-03-11	2021.190281
hCoV-19/Spain/CT-HUGTiPM013OD1D9/2021|EPI_ISL_1892959|2021-04-16	2021-04-16	2021.289041
hCoV-19/Luxembourg/LNS3777891/2021|EPI_ISL_1918245|2021-04-19	2021-04-19	2021.297260
hCoV-19/England/MILK-152AC13/2021|EPI_ISL_2006523|2021-04-21	2021-04-21	2021.302740
NODE_0000087	2021-04-18	2021.294218
NODE_0000088	2021-05-07	2021.346575
hCoV-19/USA/NY-PRL-0510_01B10/2021|EPI_ISL_2106358|2021-05-07	2021-05-07	2021.346575
hCoV-19/USA/NY-PRL-0512_00C20/2021|EPI_ISL_2106547|2021-05-11	2021-05-11	2021.357534
NODE_0000081	2021-05-03	2021.334647
hCoV-19/USA/NY-PRL-2021_0519_00D18/2021|EPI_ISL_2235210|2021-05-18	2021-05-18	2021.376712
hCoV-19/USA/NY-PRL-0512_00B18/2021|EPI_ISL_2106548|2021-05-10	2021-05-10	2021.354795
NODE_0000079	2021-02-03	2021.092343
hCoV-19/Denmark/DCGC-56185/2021|EPI_ISL_1864685|2021-03-29	2021-03-29	2021.239726
hCoV-19/Togo/TGS16/2021|EPI_ISL_1509099|2021-02-13	2021-02-13	2021.119178
hCoV-19/Ghana/NMIMR-NTRA-21-8945/2021|EPI_ISL_2001069|2021-03-16	2021-03-16	2021.204110
hCoV-19/Ghana/NMIMR-TRA-21-6410/2021|EPI_ISL_2001078|2021-03-15	2021-03-15	2021.201370
NODE_0000083	2021-03-12	2021.193804
hCoV-19/Ghana/NMIMR-TRA-21-13568/2021|EPI_ISL_2001077|2021-03-15	2021-03-15	2021.201370
hCoV-19/USA/NY-PRL-2021_0414_00G20/2021|EPI_ISL_1633953|2021-04-12	2021-04-12	2021.278082
NODE_0000090	2021-02-16	2021.127971
hCoV-19/Germany/NW-RKI-I-078565/2021|EPI_ISL_1643809|2021-04-08	2021-04-08	2021.267123
hCoV-19/France/ARA-HCL021071317701/2021|EPI_ISL_1935393|2021-04-13	2021-04-13	2021.280822
hCoV-19/France/ARA-HCL021061399101/2021|EPI_ISL_1623609|2021-03-30	2021-03-30	2021.242466
NODE_0000092	2021-03-02	2021.164682
hCoV-19/France/IDF-HMN-21032260307/2021|EPI_ISL_1754998|2021-03-23	2021-03-23	2021.223288
NODE_0000086	2021-03-05	2021.172718
hCoV-19/France/IDF-HMN-21042080348/2021|EPI_ISL_1755791|2021-04-06	2021-04-06	2021.261644
NODE_0000094	2021-04-03	2021.253410
hCoV-19/France/IDF-HMN-21042160531/2021|EPI_ISL_1756631|2021-04-13	2021-04-13	2021.280822
hCoV-19/France/IDF-HMN-21042160506/2021|EPI_ISL_1756637|2021-04-13	2021-04-13	2021.280822
NODE_0000089	2021-02-20	2021.138577
hCoV-19/France/COR-HCL021080734001/2021|EPI_ISL_2142669|2021-04-23	2021-04-23	2021.308219
NODE_0000091	2021-02-21	2021.142191
NODE_0000100	2021-03-08	2021.182192
hCoV-19/Singapore/257/2021|EPI_ISL_1252447|2021-03-08	2021-03-08	2021.182192
NODE_0000101	2021-03-24	2021.226027
hCoV-19/France/NAQ-HCL021070164601/2021|EPI_ISL_1788430|2021-03-24	2021-03-24	2021.226027
hCoV-19/France/NAQ-HCL021070199201/2021|EPI_ISL_1788434|2021-03-24	2021-03-24	2021.226027
NODE_0000095	2021-02-28	2021.159734
NODE_0000098	2021-04-10	2021.273462
hCoV-19/Japan/IC-1021/2021|EPI_ISL_1927303|2021-04-12	2021-04-12	2021.278082
hCoV-19/Portugal/PT7440/2021|EPI_ISL_2249022|2021-05-11	2021-05-11	2021.357534
NODE_0000096	2021-03-15	2021.200135
hCoV-19/France/IDF-CERBAHC-20210408-S8/2021|EPI_ISL_2094436|2021-03-30	2021-03-30	2021.242466
NODE_0000097	2021-04-26	2021.316438
hCoV-19/France/HDF-P321-21172M0894/2021|EPI_ISL_2143400|2021-04-26	2021-04-26	2021.316438
hCoV-19/France/HDF-P321-21172M0894/2021|EPI_ISL_2143519|2021-04-26	2021-04-26	2021.316438
NODE_0000019	2020-10-22	2020.806014
hCoV-19/Nigeria/CV625/2021|EPI_ISL_906284|2021-01-11	2021-01-11	2021.028767
hCoV-19/Nigeria/CV739/2021|EPI_ISL_1093473|2021-01-05	2021-01-05	2021.012329
hCoV-19/Nigeria/CV1049/2021|EPI_ISL_1715406|2021-01-13	2021-01-13	2021.034247
hCoV-19/Nigeria/CV1136/2021|EPI_ISL_1970551|2021-02-19	2021-02-19	2021.135616
hCoV-19/Nigeria/CV796/2021|EPI_ISL_1173226|2021-01-20	2021-01-20	2021.053425
NODE_0000768	2020-11-04	2020.843906
hCoV-19/Nigeria/CV850/2021|EPI_ISL_1235647|2021-01-25	2021-01-25	2021.067123
hCoV-19/Latvia/2403/2021|EPI_ISL_2141965|2021-04-26	2021-04-26	2021.316438
NODE_0000063	2020-12-04	2020.924910
hCoV-19/Nigeria/CV639/2020|EPI_ISL_941287|2020-12-29	2020-12-29	2020.993169
hCoV-19/Denmark/DCGC-73184/2021|EPI_ISL_1881755|2021-01-18	2021-01-18	2021.047945
NODE_0000065	2021-02-14	2021.122579
hCoV-19/Belgium/rega-4087/2021|EPI_ISL_1380528|2021-02-25	2021-02-25	2021.152055
hCoV-19/France/IDF-HMN-21032080034/2021|EPI_ISL_1695986|2021-02-23	2021-02-23	2021.146575
NODE_0000775	2020-12-22	2020.974645
hCoV-19/Nigeria/CV1269/2021|EPI_ISL_2240750|2021-02-22	2021-02-22	2021.143836
hCoV-19/Nigeria/CV836/2021|EPI_ISL_1173233|2021-01-26	2021-01-26	2021.069863
NODE_0000777	2021-01-28	2021.075803
hCoV-19/Germany/HE-RKI-I-016563/2021|EPI_ISL_1146725|2021-02-08	2021-02-08	2021.105479
