id,latitude,longitude,Host,year,month,day,Host__colour,State,State__colour,Study,Study__colour,Vacinees,Vacinees__colour,Area,Area__colour
RJ168|NHP|Divinopolis-MG|23-01-2017,-20.145126,-44.891645,NonHumanPrimate,2017,1,23,#2b8cbe,Minas_Gerais,#fb8072,YiBRA,#74c476,No,#969696,NonHumanPrimate,#a8ddb5
RJ143|NHP|BeloHorizonte-MG|24-01-2017,-19.918121,-43.959962,NonHumanPrimate,2017,1,24,#2b8cbe,Minas_Gerais,#fb8072,YiBRA,#74c476,No,#969696,NonHumanPrimate,#a8ddb5
RJ171|NHP|SaoRoqueMinas-MG|03-02-2017,-20.180363,-46.503451,NonHumanPrimate,2017,2,3,#2b8cbe,Minas_Gerais,#fb8072,YiBRA,#74c476,No,#969696,NonHumanPrimate,#a8ddb5
RJ148|Human|TeofiloOtoni-MG|24-01-2017,-17.860009,-41.509104,Human,2017,1,24,#e34a33,Minas_Gerais,#fb8072,YiBRA,#74c476,No,#969696,Rural,#9ebcda
RJ162|NHP|ChapadaGaucha-MG|23-01-2017,-15.569408,-45.374536,NonHumanPrimate,2017,1,23,#2b8cbe,Minas_Gerais,#fb8072,YiBRA,#74c476,No,#969696,NonHumanPrimate,#a8ddb5
RJ185|Human|SaoJoaoEvangelista-MG|22-01-2017,-18.496839,-42.797966,Human,2017,1,22,#e34a33,Minas_Gerais,#fb8072,YiBRA,#74c476,Yes,#74c476,Rural,#9ebcda
RJ150|Human|TeofiloOtoni-MG|27-01-2017,-17.860009,-41.509104,Human,2017,1,27,#e34a33,Minas_Gerais,#fb8072,YiBRA,#74c476,No,#969696,Rural,#9ebcda
RJ163|NHP|Sacramento-MG|09-02-2017,-19.850234,-47.370655,NonHumanPrimate,2017,2,9,#2b8cbe,Minas_Gerais,#fb8072,YiBRA,#74c476,No,#969696,NonHumanPrimate,#a8ddb5
RJ164|NHP|Juatuba-MG|14-02-2017,-19.943241,-44.341398,NonHumanPrimate,2017,2,14,#2b8cbe,Minas_Gerais,#fb8072,YiBRA,#74c476,No,#969696,NonHumanPrimate,#a8ddb5
RJ157|Human|TeofiloOtoni-MG|05-02-2017,-17.860009,-41.509104,Human,2017,2,5,#e34a33,Minas_Gerais,#fb8072,YiBRA,#74c476,No,#969696,Rural,#9ebcda
RJ151|NHP|Itamarandiba-MG|13-01-2017,-17.857298,-42.858392,NonHumanPrimate,2017,1,13,#2b8cbe,Minas_Gerais,#fb8072,YiBRA,#74c476,No,#969696,NonHumanPrimate,#a8ddb5
RJ153|NHP|FelicianoDosSantos-MG|24-01-2017,-18.077954,-43.247826,NonHumanPrimate,2017,1,24,#2b8cbe,Minas_Gerais,#fb8072,YiBRA,#74c476,No,#969696,NonHumanPrimate,#a8ddb5
FioRJ|1536|Human|EspiritoSanto_Vitoria|22-02-2017,-20.297618,-40.295777,Human,2017,2,22,#e34a33,Espirito_Santo,#bebada,YiBRA,#74c476,No,#969696,Urban,#8856a7
FioRJ|1818|Human|EspiritoSanto_Cariacia|10-03-2017,-20.284466,-40.431258,Human,2017,3,10,#e34a33,Espirito_Santo,#bebada,YiBRA,#74c476,No,#969696,Urban,#8856a7
FioRJ|2109|NonHumanPrimate|EspiritoSanto_Cariacica|08-03-2017,-20.284466,-40.431258,NonHumanPrimate,2017,3,8,#2b8cbe,Espirito_Santo,#bebada,YiBRA,#74c476,No,#969696,NonHumanPrimate,#a8ddb5
FioRJ|2115|NonHumanPrimate|EspiritoSanto_Cariacia|09-03-2017,-20.284466,-40.431258,NonHumanPrimate,2017,3,9,#2b8cbe,Espirito_Santo,#bebada,YiBRA,#74c476,No,#969696,NonHumanPrimate,#a8ddb5
FioRJ|3919|Human|EspiritoSanto_DomingosMartins|10-04-2017,-20.360797,-40.65981,Human,2017,4,10,#e34a33,Espirito_Santo,#bebada,YiBRA,#74c476,No,#969696,Rural,#9ebcda
FioRJ|4278|NonHumanPrimate|RioJaneiro_Marica|17-04-2017,-22.916099,-42.819192,NonHumanPrimate,2017,4,17,#2b8cbe,Rio_Janeiro,#80b1d3,YiBRA,#74c476,No,#969696,NonHumanPrimate,#a8ddb5
FioRJ|438|NonHumanPrimate|Espirito_Santo_DomingosMartins|31-01-2017,-20.360797,-40.65981,NonHumanPrimate,2017,1,31,#2b8cbe,Espirito_Santo,#bebada,YiBRA,#74c476,No,#969696,NonHumanPrimate,#a8ddb5
FioRJ|4480|Human|RioJaneiro_CasimirodeAbreu|22-04-2017,-22.479797,-42.202903,Human,2017,4,22,#e34a33,Rio_Janeiro,#80b1d3,YiBRA,#74c476,No,#969696,Urban,#8856a7
FioRJ|460|Human|MinasGerais_NovoCruzeiro|30-01-2017,-17.432895,-41.998972,Human,2017,1,30,#e34a33,Minas_Gerais,#fb8072,YiBRA,#74c476,No,#969696,Rural,#9ebcda
FioRJ|465|Human|MinasGerais_Itambacuri|30-01-2017,-18.034092,-41.683337,Human,2017,1,30,#e34a33,Minas_Gerais,#fb8072,YiBRA,#74c476,No,#969696,Rural,#9ebcda
FioRJ|480|Human|MinasGerais_TeofiloOtoni|28-01-2017,-17.860009,-41.509104,Human,2017,1,28,#e34a33,Minas_Gerais,#fb8072,YiBRA,#74c476,No,#969696,Rural,#9ebcda
FioRJ|532|NonHumanPrimate|MinasGerais_CoronelMurta|13-01-2017,-16.588013,-42.196772,NonHumanPrimate,2017,1,13,#2b8cbe,Minas_Gerais,#fb8072,YiBRA,#74c476,No,#969696,NonHumanPrimate,#a8ddb5
FioRJ|Library9YIBRA_M218_2176|Primate|Bahia|10-03-2017,-15.037801,-41.934681,NonHumanPrimate,2017,3,10,#2b8cbe,Bahia,#8dd3c7,YiBRA,#74c476,No,#969696,NonHumanPrimate,#a8ddb5
IAL_11|Primate|EspiritoSanto_VendaNovadoImigrante|24-01-2017,-20.327507,-41.135935,NonHumanPrimate,2017,1,24,#2b8cbe,Espirito_Santo,#bebada,YiBRA,#74c476,No,#969696,NonHumanPrimate,#a8ddb5
